sid,near_site,city_name,level,color
S0206,剝皮寮老街,台北,起始點,#ffcc33
R0188,福州元祖胡椒餅,台北,"第 1 層",#699c4c
R0109,納達吉印度料理,台北,"第 1 層",#699c4c
S1184,淡水海關碼頭,新北,"第 1 層",#699c4c
S7306,華西街觀光夜市,台北,"第 2 層",#0066cc
S0306,新富町文化市場,台北,"第 1 層",#699c4c
S0118,西門町,台北,"第 2 層",#0066cc
R0105,阿宗麵線,台北,"第 2 層",#0066cc
R1622,星巴克咖啡館,台北,"第 1 層",#699c4c
S0918,陰陽海,新北,"第 1 層",#699c4c
S0983,深坑豆腐街,新北,"第 2 層",#0066cc
R0392,"點水樓 南京店",台北,"第 1 層",#699c4c
H15111,"高絲旅時尚旅館 - 漢口館",台北,"第 1 層",#699c4c
S0104,龍山寺,台北,"第 2 層",#0066cc
S7276,西門紅樓,台北,"第 2 層",#0066cc
S0141,永樂市場,台北,"第 1 層",#699c4c
S7411,青草巷,台北,"第 1 層",#699c4c
S0130,雙城街夜市,台北,"第 1 層",#699c4c
S0351,西本願寺廣場,台北,"第 1 層",#699c4c
R3643,添好運（統一時代店）,台北,"第 1 層",#699c4c
R0049,周記肉粥,台北,"第 1 層",#699c4c
S0162,華山1914文化創意產業園區,台北,"第 1 層",#699c4c
S0103,大安森林公園,台北,"第 2 層",#0066cc
S0228,艋舺青山宮,台北,"第 2 層",#0066cc
S0560,南陽街,台北,"第 1 層",#699c4c
H15091,台北凱達大飯店,台北,"第 2 層",#0066cc
S5733,宜蘭礁溪溫泉,宜蘭,"第 1 層",#699c4c
R1932,民生工寓,台北,"第 1 層",#699c4c
H00250,禾順商旅,台北,"第 1 層",#699c4c
R0121,牛店牛肉麵.,台北,"第 2 層",#0066cc
R5336,碧瑤山莊庭園餐廳,新北,"第 1 層",#699c4c
H00356,明日大飯店,台北,"第 1 層",#699c4c
H01090,加州客棧,台北,"第 1 層",#699c4c
R0813,"麥當勞 - 松壽路",台北,"第 1 層",#699c4c
R4395,山頭火拉麵,台北,"第 1 層",#699c4c
R0103,天天利美食坊,台北,"第 2 層",#0066cc
S7382,西門紅樓16工房,台北,"第 2 層",#0066cc
R0249,少帥禪園,台北,"第 2 層",#0066cc
S0829,八斗子車站,新北,"第 2 層",#0066cc
R3515,幸春三兄妹豆花,台北,"第 2 層",#0066cc
S0174,北投地熱谷公園,台北,"第 2 層",#0066cc
S0316,台北國際藝術村－寶藏巖,台北,"第 2 層",#0066cc
R2362,漁夫先生,新北,"第 2 層",#0066cc
S0830,淡水紅毛城,新北,"第 2 層",#0066cc
R2811,艾莉斯餐酒館,新北,"第 2 層",#0066cc
R3188,麥當勞（淡水中正店）,新北,"第 2 層",#0066cc
R0104,豪大大雞排,台北,"第 2 層",#0066cc
S0106,國立故宮博物院,台北,"第 2 層",#0066cc
S1950,台茂購物中心,桃園,"第 2 層",#0066cc
R1844,晶華栢麗廳,台北,"第 2 層",#0066cc
S0150,饒河街觀光夜市,台北,"第 2 層",#0066cc
S2806,東勢林場,台中,"第 2 層",#0066cc
S0305,龍山寺地下街商場,台北,"第 2 層",#0066cc
